Country,Continent,Rank,Title,Artists,Collaboration,Collaboration.Type,Album.x,Explicit,Duration,X.,Artist,Popularity,BPM,Genres,Parent.Genres,Album.y,Album.Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time.Signature,Added.At,Spotify.Track.Id,Album.Label,Camelot,Spotify.Track.Img,Song.Preview
Colombia,South America,14,Sigues Con El,"Dímelo Flow, Arcangel, Sech",YES,Group,Sigues Con El,0,3:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,15,Relación,Sech,NO,Solo,1 of 1,0,3:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,16,Blinding Lights,The Weeknd,NO,Solo,After Hours,0,3:20,27,The Weeknd,92,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",After Hours,2020,3:20,51,73,0,0,33,0,0,-6,C♯/D♭ Major,4,8/14/2023,0VjIjW4GlUZAMYd2vXMi3b,Republic Records,3B,,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36
Colombia,South America,17,Ignorantes,"Bad Bunny, Sech",NO,Duet,YHLQMDLG,1,3:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,18,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",NO,Duet,Rain On Me (with Ariana Grande),0,3:02,84,"Lady Gaga,Ariana Grande",76,123,"art pop, dance pop, pop",Pop,Chromatica,2020,3:02,67,86,2,0,65,0,30,-4,A Major,4,8/14/2023,7ju97lgwC2rKQ6wwsf9no9,Interscope,11B,,https://i.scdn.co/image/ab67616d000048516040effba89b9b00a6f6743a
Colombia,South America,19,Los Besos,Greeicy,YES,Solo,Los Besos,0,3:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,20,Diosa,Myke Towers,NO,Solo,Easy Money Baby,1,3:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,21,Blanco,J Balvin,NO,Solo,Colores,0,2:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,22,Si Veo a Tu Mamá,Bad Bunny,NO,Solo,YHLQMDLG,0,2:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,23,Fantasias,"Rauw Alejandro, Farruko",NO,Duet,Fantasias,0,3:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,24,Dance Monkey,Tones And I,YES,Solo,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,51,Tones And I,77,98,australian pop,Pop,Welcome To The Madhouse (Deluxe),2021,3:29,82,59,69,0,51,0,10,-6,F#/G♭ Minor,4,8/14/2023,2N8m6CYs74qQO4mjVcXO30,Elektra (NEK),11A,https://p.scdn.co/mp3-preview/faad7dce8e7deeb059c7c59645c594c40342812f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518e8197111f9d57793a5e7eff
Colombia,South America,24,Dance Monkey,Tones And I,YES,Solo,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,132,Tones And I,79,98,australian pop,Pop,Dance Monkey (Stripped Back) / Dance Monkey,2019,3:29,82,59,69,0,51,0,10,-6,F#/G♭ Minor,4,8/14/2023,2XU0oxnq2qxCpomAAuJY8K,Elektra (NEK),11A,https://p.scdn.co/mp3-preview/d03d7e46e89547f5a1994483f27e221c8de1f5c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c6f7af36ecdc3ed6e0a1f169
Colombia,South America,25,Negro,J Balvin,YES,Solo,Colores,0,3:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,26,BYE ME FUI,Bad Bunny,NO,Solo,LAS QUE NO IBAN A SALIR,1,2:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,27,La Difícil,Bad Bunny,YES,Solo,YHLQMDLG,1,2:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,28,Locura,"Cali Y El Dandee, Sebastian Yatra",YES,Duet,Colegio,0,3:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,29,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",NO,Duet,CÓMO SE SIENTE (Remix),1,3:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,30,Quiéreme Mientras Se Pueda,Manuel Turizo,YES,Solo,Quiéreme Mientras Se Pueda,0,3:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,31,LA CANCIÓN,"J Balvin, Bad Bunny",YES,Duet,OASIS,0,4:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,32,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",NO,Group,Famouz,0,5:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,33,Don't Start Now,Dua Lipa,NO,Solo,Future Nostalgia,0,3:03,54,Dua Lipa,84,124,"dance pop, pop, uk pop",Pop,Future Nostalgia,2020,3:03,79,79,1,0,68,0,10,-5,B Minor,4,8/14/2023,3PfIrDoz19wz7qK7tYeu62,Warner Records,10A,https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946
Colombia,South America,33,Don't Start Now,Dua Lipa,NO,Solo,Future Nostalgia,0,3:03,118,Dua Lipa,79,124,"dance pop, pop, uk pop",Pop,Don't Start Now,2019,3:03,79,79,1,0,68,0,10,-5,B Minor,4,8/14/2023,6WrI0LAC5M1Rw2MnX2ZvEg,Warner Records,10A,https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518583df1a14bea9175f9ac520
Colombia,South America,34,PA' ROMPERLA,"Bad Bunny, Don Omar",YES,Duet,LAS QUE NO IBAN A SALIR,1,3:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,35,BORRAXXA,"Feid, Manuel Turizo",YES,Duet,FERXXO (VOL 1: M.O.R),0,3:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,36,ADMV,Maluma,NO,Solo,ADMV,0,3:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,37,Gris,J Balvin,YES,Solo,Colores,0,2:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,38,MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",YES,Duet,LAS QUE NO IBAN A SALIR,1,3:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,39,Por Primera Vez,"Camilo, Evaluna Montaner",YES,Duet,Por Primera Vez,0,3:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,40,Vete,Bad Bunny,YES,Solo,YHLQMDLG,1,3:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,41,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",YES,Group,Modo Avión,1,5:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,42,Loco - Remix,"Farruko, Beéle, Natti Natasha, Manuel Turizo",YES,Group,Loco (Remix),0,4:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,43,Tutu,"Camilo, Pedro Capó",YES,Duet,Por Primera Vez,0,2:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
